"idclient","idcompany","idmember","idaccount","idcategory","defaultcategory","period_yyyymm","monthly_total"
1,"52","101558",INT4,Other,Other,"2024-06",9830.52
1,"52","101558",INT5,Other,Other,"2024-06",1922.31
1,"52","101558",INT5,Other,Other,"2024-05",3762.42
1,"52","101558",INT4,Other,Other,"2024-05",16355.25
1,"52","101558",INT87741,Other,Other,"2024-05",6536.59
1,"52","101558",INT87742,Other,Other,"2024-05",344.57
1,"52","101558",INT87743,Other,Other,"2024-05",282.72
1,"52","101558",INT87741,Other,Other,"2024-04",7670.99
1,"52","101558",INT87742,Other,Other,"2024-04",373.32
1,"52","101558",INT87743,Other,Other,"2024-04",276.75
1,"52","101558",INT4,Other,Other,"2024-04",10065.78
1,"52","101558",INT5,Other,Other,"2024-04",3537.58
1,"52","101558",INT5,Other,Other,"2024-03",2538.65
1,"52","101558",INT4,Other,Other,"2024-03",13736.67
1,"52","101558",INT87742,Other,Other,"2024-03",266.12
1,"52","101558",INT87743,Other,Other,"2024-03",566.44
1,"52","101558",INT87741,Other,Other,"2024-03",10665.38
1,"52","101558",INT87743,Other,Other,"2024-02",337.04
1,"52","101558",INT82322,Other,Other,"2024-02",1000.00
1,"52","101558",INT87741,Other,Other,"2024-02",5166.35
1,"52","101558",INT87742,Other,Other,"2024-02",206.89
1,"52","101558",INT4,Other,Other,"2024-02",8241.35
1,"52","101558",INT5,Other,Other,"2024-02",1032.89
1,"52","101558",INT5,Other,Other,"2024-01",1747.63
1,"52","101558",INT4,Other,Other,"2024-01",10597.22
1,"52","101558",INT92345,Other,Other,"2024-01",2000.00
1,"52","101558",INT87742,Other,Other,"2024-01",301.68
1,"52","101558",INT87743,Other,Other,"2024-01",236.54
1,"52","101558",INT87741,Other,Other,"2024-01",4440.05
1,"52","101558",INT87742,Other,Other,"2023-12",283.47
1,"52","101558",INT87741,Other,Other,"2023-12",5087.38
1,"52","101558",INT87743,Other,Other,"2023-12",223.92
1,"52","101558",INT4,Other,Other,"2023-12",18803.73
1,"52","101558",INT5,Other,Other,"2023-12",3718.79
1,"52","101558",INT5,Other,Other,"2023-11",1580.67
1,"52","101558",INT4,Other,Other,"2023-11",10945.99
1,"52","101558",INT87743,Other,Other,"2023-11",118.32
1,"52","101558",INT87742,Other,Other,"2023-11",133.04
1,"52","101558",INT87741,Other,Other,"2023-11",1988.62
1,"52","101558",INT4,Other,Other,"2023-10",11100.05
1,"52","101558",INT5,Other,Other,"2023-10",2256.58
1,"52","101558",INT5,Other,Other,"2023-09",543.11
1,"52","101558",INT4,Other,Other,"2023-09",9305.34
1,"52","101558",INT4,Other,Other,"2023-08",10268.10
1,"52","101558",INT5,Other,Other,"2023-08",1366.41
1,"52","101558",INT5,Other,Other,"2023-07",5690.18
1,"52","101558",INT4,Other,Other,"2023-07",11314.94
1,"52","101558",INT4,Other,Other,"2023-06",13926.51
1,"52","101558",INT5,Other,Other,"2023-06",12569.20
1,"52","101558",INT5,Other,Other,"2023-05",795.04
1,"52","101558",INT4,Other,Other,"2023-05",12455.66
1,"52","101558",INT4,Other,Other,"2023-04",4791.62
1,"52","101558",INT5,Other,Other,"2023-04",256.39
1,"52","102293",INT3,Auto & transport,Auto & transport,"2026-06",2.00
1,"52","102293",INT3,Groceries,Groceries,"2026-06",20.00
1,"52","102293",INT3,Other,Other,"2026-06",3.53
1,"52","102293",INT3,Shopping,Shopping,"2026-06",5.60
1,"52","102293",INT3,Taxes & fees,Taxes & fees,"2026-06",0.02
1,"52","102293",INT3,Transfers & payments,Transfers & payments,"2026-06",2.55
1,"52","102293",INT3,Other,Other,"2026-05",5102.24
1,"52","102293",INT3,Other,Other,"2026-04",14.12
1,"52","102293",INT3,Other,Other,"2026-03",32.67
1,"52","102293",INT3,Other,Other,"2026-02",26.29
1,"52","102293",INT3,Other,Other,"2026-01",28.10
1,"52","102293",INT3,Other,Other,"2025-12",560.68
1,"52","102293",INT3,Taxes & fees,Taxes & fees,"2025-12",3.00
1,"52","102293",INT3,Other,Other,"2025-11",1.00
1,"52","102293",INT3,Other,Other,"2025-05",13.73
1,"52","102293",INT3,Other,Other,"2025-02",13.30
1,"52","102293",INT3,Other,Other,"2025-01",11346.95
1,"52","102293",INT3,Transfers & payments,Transfers & payments,"2025-01",1.06
1,"52","102293",INT3,Other,Other,"2024-12",499.76
1,"52","102293",INT3,Other,Other,"2024-11",6.00
1,"52","102293",INT3,Other,Other,"2024-07",2.00
1,"52","102293",INT3,Other,Other,"2024-04",9.00
